propertyImmoCode,provinceCode,postalCode,salePrice,propertyType,propertySubtype,buildingCondition,propertySurface,landSurface,constructionYear,EPC,floors,facades,rooms,bedrooms,bathrooms,showerrooms,kitchenSurface,atticSurface,basementSurface,livingroomSurface,diningroomSurface,gardenSurface,terraceSurface,hasSwimmingpool
10161858,WHT,6001,300000,1,10,3,250,1751,,,,3,,5,1,10,18,,1,40,1,1600,50,
10161856,VBR,3140,1150000,1,11,1,625,2733,1989,135,,4,,4,3,2,,,,,,,1,1
10161854,BBR,1070,339000,1,,5,231,95,1920,622,,2,,4,1,0,,1,1,,,,,
10161849,VAN,2650,149000,2,,1,80,,,213,,,,2,1,0,10,,,20,1,,4,
10161848,BBR,1180,475000,2,,2,110,,,628,3,4,,2,1,1,8,,,30,,,,
10161847,BBR,1180,850000,2,19,2,,,1990,193,2,,,3,2,0,20,,1,90,,,85,1
10161843,VBR,1745,349000,1,,1,150,547,,471,,3,,3,1,0,17,1,1,30,,,1,
10161842,VBR,3010,625000,1,6,2,227,218,2022,,,2,,3,1,0,10,10,,32,,,1,
10161840,VWV,8830,188100,1,,,,250,,,,3,,3,1,0,,,,1,,1,,
10161835,WBR,1400,599000,1,11,,270,862,,395,,4,,4,1,1,,,1,54,,1,58,
10161834,VAN,2830,269000,1,,6,211,297,1964,841,,4,,3,1,1,11,1,1,34,1,,1,
10161832,BBR,1070,495000,1,11,5,203,358,1955,304,,3,,4,1,0,7,1,1,47,,140,1,
10161831,VAN,2490,379000,1,,,182,441,,,,3,,3,1,0,,,,,,,1,
10161830,WHT,7320,135000,1,5,3,,1700,,,,4,,1,,0,,,,,,,1,
10161828,BBR,1000,495000,1,,6,156,56,,653,,2,,4,1,0,,,,14,1,8,,
10161824,VOV,9550,485000,1,,1,340,735,1995,316,,4,,3,,0,,1,,,,,1,
10161823,VBR,1730,395000,1,8,2,220,376,1951,319,,3,,1,2,0,8,,,40,,200,80,
10161821,VBR,3300,219500,2,,1,,,1977,214,,2,,2,1,0,,,1,,,,1,
10161820,VOV,9600,229000,1,,,202,139,2022,,,2,,3,1,1,12,,,23,1,40,25,
10161818,WLX,6840,135000,1,,,93,140,,747,,3,,2,1,0,6,,45,32,,,,
10161817,WLX,6840,229000,1,,,188,330,,461,,3,,4,1,0,22,55,38,17,1,100,,
10161816,WLG,4610,265000,1,11,1,161,538,,235,,4,,2,1,0,8,,,23,,462,23,
10161814,WLG,4020,79000,2,,5,,,,307,8,2,,1,1,0,3,,,1,,,1,
10161812,VOV,9080,314000,1,,1,,602,,490,,3,,2,1,0,,,,,,450,10,
10161800,VOV,9800,412542,1,,2,159,0,2022,,,3,,3,2,1,15,,,42,,,12,
10161799,VOV,9800,406562,1,,2,159,0,2022,,,3,,3,2,1,15,,,42,,,12,
10161798,VOV,9800,402910,1,,2,159,0,2022,,,3,,3,2,1,15,,,42,,,12,
10161797,VOV,9800,350528,1,,2,159,0,2022,,,2,,3,2,1,15,,,42,,,12,
10161796,VOV,9800,385121,1,,2,159,0,2022,,,3,,3,2,1,15,,,42,,,12,
10161795,VOV,9800,385114,1,,2,159,0,2022,,,3,,3,2,1,15,,,42,,,12,
10161794,VOV,9800,350528,1,,2,159,0,2022,,,2,,3,2,1,15,,,42,,,12,
10161793,VOV,9800,399133,1,,2,159,0,2022,,,3,,3,2,1,15,,,42,,,12,
10161792,VOV,9890,658500,1,,1,200,620,2005,229,,4,,4,1,1,11,1,,26,1,400,50,
10161791,WLX,6880,185000,1,,1,100,220,1971,185,,3,,2,1,0,11,1,34,20,,,1,
10161789,BBR,1200,720000,1,,6,267,176,1913,321,,2,,5,1,1,10,1,1,41,1,45,2,
10161787,BBR,1140,235000,2,,1,90,,1968,233,9,2,,2,1,1,9,,1,25,1,,14,
10161786,BBR,1200,1450000,1,8,1,283,83,1900,571,,2,,4,3,3,,,,,1,,,
10161785,VBR,3150,385000,1,,1,161,325,1958,250,,3,,3,1,0,,1,,,,,1,
10161784,WHT,6041,130000,1,,,112,0,,463,,,,3,,0,,,,,,,,
10161783,BBR,1050,1590000,2,19,2,150,,1930,169,5,,,3,3,0,,,,,,,55,
10161780,BBR,1180,298000,2,,6,72,,1935,,2,2,,1,1,0,,,1,,,,,
10161779,VAN,2140,375000,1,,1,150,103,,,,2,,3,1,1,20,,1,36,,22,,
10161778,VWV,8000,386000,1,,1,161,75,,320,,2,,5,1,0,17,,,20,1,,8,
10161777,WHT,7100,140000,1,,5,102,560,,498,,3,,2,1,0,12,21,17,,1,498,25,
