propertyImmoCode,provinceCode,postalCode,salePrice,propertyType,propertySubtype,buildingCondition,propertySurface,landSurface,constructionYear,EPC,floors,facades,rooms,bedrooms,bathrooms,showerrooms,kitchenSurface,atticSurface,basementSurface,livingroomSurface,diningroomSurface,gardenSurface,terraceSurface,hasSwimmingpool
10167355,WHT,7160,125000,1,,,,0,,157,,,,3,,0,,,,,,,,
10167354,WHT,7973,190000,1,11,6,,1700,,629,,4,,3,1,0,,1,,1,,,,
10167353,VBR,1500,330000,2,16,2,156,,2010,119,,,,3,2,1,,,,,,,11,
10167351,WBR,1380,1750000,1,6,1,550,4600,1997,,,4,8,7,4,4,,,,,1,4600,100,
10167350,WHT,7301,110000,1,,6,,280,,592,,2,,4,1,0,6,,,25,1,,,
10167349,VAN,2170,198000,2,,5,91,,1991,252,3,,,2,1,0,,,,,,,4,
10167347,WNA,5590,349000,1,,1,183,0,,369,,4,,3,,0,,,,,,,,
10167346,VBR,1640,429000,2,15,1,151,,,396,1,2,,2,1,1,20,,1,51,,400,1,
10167345,BBR,1180,1200000,1,7,6,500,0,,,,2,,9,6,0,,,1,,,,84,
10167343,VOV,9700,298000,2,20,1,188,,,293,,2,,2,1,0,,,,,,,30,
10167342,VOV,9032,329000,2,,2,152,,2010,151,1,2,,3,1,0,,,,,,,15,
10167341,VOV,9000,249000,2,,2,62,,,162,6,2,,1,1,0,,,,,,,4,
10122763,BBR,1030,255000,2,,6,90,,1964,81,6,2,,2,1,0,9,,1,30,,,7,
10167338,VBR,3070,395000,1,,1,140,521,,257,,3,,3,1,0,12,,15,29,,,,
10167337,VAN,2018,875000,1,10,,307,215,1930,571,,2,,6,2,0,,,1,,1,,1,
10167336,WLG,4101,262500,1,7,1,202,0,,324,,,12,4,1,0,,,46,20,1,,,
10167335,VWV,8710,195000,1,,1,122,236,1963,583,,2,,3,1,0,,,,,,,,
10167334,VWV,8791,425000,1,,1,231,830,1987,203,,4,,3,2,0,,,,,,,,
10167333,VWV,8580,240000,1,,6,320,854,,,,2,,4,1,0,,,,,,,,
10167332,VAN,2600,225000,2,18,2,,,,159,,,,0,,0,,,,,,,,
10167324,VAN,2660,224000,1,,1,100,100,,781,,2,,2,1,0,,,,52,,48,,
10167323,VAN,2950,669000,1,,1,212,1000,,304,,4,,4,2,0,,,,74,,1000,60,
10167321,VAN,2140,215000,2,,1,125,,,168,5,2,,2,1,0,,,,,,,,
10167320,VAN,2140,349000,2,,2,108,,2018,88,,4,,3,1,0,,,,,,,25,
10167306,VWV,8400,259000,1,,1,148,120,,888,,,,5,,0,,1,,,,1,1,
10167303,WHT,7850,185000,1,,1,96,141,,466,,2,,2,1,0,,,1,27,,1,,
10167301,VOV,9000,295000,2,,5,112,,1958,244,,2,,2,1,0,9,,,34,,,,
10167300,VAN,2140,125000,2,,5,38,,1969,243,,2,,1,1,0,,,,17,,,7,
10091239,WLG,4420,199000,1,,,124,0,,492,,,,4,1,0,,,1,35,,,,
10060649,WBR,1310,615000,1,11,2,300,800,2010,444,,3,,4,2,4,60,,8,30,1,600,45,
10167298,VOV,9140,459000,1,1,5,137,1366,1972,1314,,4,,3,1,0,,,1,,,1,,
10167297,VOV,9400,338000,2,16,2,115,,2021,,2,4,,3,1,1,35,,9,35,,,1,
10167296,BBR,1180,495000,2,,1,166,,1964,147,6,2,,2,1,0,8,,1,45,,,7,
10167294,WLG,4101,262500,1,,2,156,198,2014,330,,2,,3,1,0,,1,,1,1,1,28,
10167293,WHT,7080,145000,2,,1,121,,2010,301,3,2,,3,2,1,9,,,34,,,,
10167289,VBR,1785,345000,1,5,6,180,750,1955,498,,4,,3,1,0,21,,13,37,,,,
10167287,WNA,5000,219000,1,,2,235,70,,293,,3,,4,1,0,,,1,,,,,
10167285,VAN,2870,227000,2,,,72,,2022,,3,3,,1,1,0,,,,29,,,9,
10098064,VBR,1640,2750000,1,11,2,900,5300,1930,255,,4,9,8,6,0,,,1,,,,1,
10167283,VOV,9500,325000,1,11,2,176,381,2023,,,3,,3,1,0,10,,,37,,,1,
10167282,VOV,9500,325000,1,11,2,176,380,2023,,,3,,3,1,0,10,,,37,,,1,
10167281,VOV,9500,319000,1,11,2,175,334,2023,,,3,,3,1,0,10,,,37,,,1,
10167280,VOV,9470,169000,1,,1,85,51,,303,,2,,2,1,0,,1,,,,,1,
10086170,VOV,9472,169000,1,,1,85,51,,303,,2,,2,1,0,,1,,,,,1,
10086171,VOV,9472,169000,2,,1,85,,,303,,2,,2,1,0,,,,,,,1,
10167262,WNA,5500,150000,1,,,176,0,,517,,,,4,,0,,,1,,,,,
10167254,WNA,5030,110000,1,,6,95,1015,,1120,,4,,1,1,0,,,1,,,1015,,
10167253,WHT,6440,195000,1,,,121,0,2022,,,,8,3,1,0,,,,,,,,
10167251,VLI,3971,499000,1,8,2,,705,,286,,4,,4,,0,,,,,,,,
10167250,WLG,4432,250000,1,9,5,112,347,,323,,2,,3,1,0,10,,10,33,1,,,
10167249,WBR,1300,225000,1,,6,115,90,,371,,2,,3,1,0,13,,1,32,,,18,
10167248,WBR,1300,325000,1,,5,120,450,1965,483,,,,2,,1,11,,1,32,1,400,20,
10167245,WNA,5500,450000,1,8,,,0,,582,,,,7,,0,,,1,1,1,,,
10167244,VLI,3830,130000,1,,,166,2097,,845,,4,,3,1,0,,,,,,,,
10167243,VOV,9000,135000,2,18,,,,,174,,,,0,,0,,,,,,,,
10167237,WBR,1370,384075,1,,,150,941,,,,4,,3,1,0,,,,,,1,,
10123993,WLG,4821,263000,1,7,1,224,160,,145,,2,,7,4,0,,,1,,,,1,
10134291,WLG,4800,89000,2,16,1,160,,,145,,2,,3,2,1,,,1,,,,,
10167233,VLI,3500,280000,2,,,110,,1972,151,,,,3,1,0,,,1,,,,,
10167230,BBR,1040,890000,1,,,294,210,1895,,,2,,5,,0,,,,28,,75,20,
10167227,VOV,9255,135000,1,,6,,198,,1096,,3,,2,,1,,,,,,,1,
10167224,WHT,6000,228000,2,,4,115,,,186,,4,,3,1,0,,,1,40,1,,5,
10167211,WHT,7750,180000,1,,3,152,1106,,480,,3,,3,1,0,16,,7,26,1,,,
10167209,WLX,6671,365000,1,5,5,140,9300,1926,,,4,,3,1,1,,,1,1,1,1,1,
10167201,WLX,6929,219500,1,,,120,2355,,,,4,,3,,1,,,,1,1,1,,
10167200,VAN,2220,180000,1,,6,,930,1934,1102,,3,,2,1,1,,1,,1,1,,,
10167199,VLI,3590,195000,1,,,202,1831,1967,350,,4,,3,1,0,,,,,,,1,
10167198,VAN,2200,220000,1,,,,0,1970,454,,3,,3,1,1,,1,1,1,1,,1,
10167197,VLI,3500,180000,1,,,127,0,2011,202,,3,,3,1,0,,,,,,,,
10167196,VAN,2100,238000,2,,2,88,,1997,176,2,2,,2,1,0,,,,,,,1,
10167194,WNA,5590,235000,1,,5,,1447,,543,,4,,3,1,0,12,,,26,,1447,,
10167192,VOV,9140,295000,1,,4,165,70,1960,390,,3,,3,2,0,16,,18,16,1,,14,
10137079,WHT,7000,310000,1,11,4,170,1950,1955,228,,4,,5,2,1,16,1,1,48,1,1,1,
10167188,WLX,6840,239500,1,,,145,1010,,,,4,,3,,1,,,,1,1,1,,
10167187,VOV,9000,262000,1,,5,132,60,1918,341,,2,,3,1,0,,,,,,,,
10104764,BBR,1030,290000,2,,1,79,,,,4,2,,2,,1,,,4,17,1,,4,
10110066,BBR,1080,299000,2,,,,,1997,122,6,,,3,1,1,8,,1,32,,,4,
10167182,WHT,7333,60000,2,15,1,,,,,1,,,1,,0,,,,,,,1,
10167180,VLI,3560,299000,1,,,168,624,1950,,,3,,3,1,0,,,1,1,1,180,80,
10167179,WBR,1480,280000,1,,1,290,225,,400,,,,3,1,1,,,1,,,,,
10167177,BBR,1180,55000,2,,,,,,579,,,,1,1,0,,,1,1,,,,
10167175,WHT,6200,140000,2,,,,,,156,1,2,,2,1,0,,,,1,1,,,
10167174,VLI,3806,150000,1,,,181,520,1962,613,,3,,3,1,0,,,,,,,,
10167173,BBR,1070,299000,1,,5,130,108,,673,,2,,3,1,0,7,,,16,1,108,,
10167171,WHT,7190,145000,1,,6,118,200,,328,,2,,3,1,0,16,,15,,1,140,14,
10167170,BBR,1080,197000,2,,1,,,,,3,2,5,2,,2,,,,,,,,
10167169,BBR,1040,995000,1,,2,277,125,1897,230,,2,,4,3,0,9,,,43,,40,18,
10097323,BBR,1140,155000,2,,,40,,,120,12,4,,1,1,0,4,,,18,,,10,
10167168,VAN,2100,319000,1,,6,,0,,,,2,,0,,0,,,,,,1,,
10167165,WLX,6690,80000,2,,1,72,,,155,,2,,2,1,0,,,,,,,,
10167164,WHT,6560,292500,1,,,160,2050,,,,4,,3,1,0,,,,1,1,1,,
10167162,BBR,1070,249000,2,,2,90,,1970,,11,,,2,1,0,8,,4,29,,,16,
10167161,VOV,9300,289000,1,,5,184,800,,863,,3,,3,,0,7,1,,28,,630,,
10167160,BBR,1000,850000,1,7,,,0,,,,2,,5,,5,,,,,,,,
10000120,VAN,2100,230000,2,,4,115,,,,3,3,,3,,1,12,,,36,,,,
10167156,WNA,5500,344165,1,,,165,756,,,,4,,4,,1,,,,1,1,1,,
10065667,WLG,4821,295000,1,12,2,,84,2020,,,4,,3,2,0,,,,,,,1,
10167153,WHT,7866,160000,1,,,,0,,529,,,,3,,0,,,,,,,,
10167152,VOV,9000,400000,1,,,,101,,230,,,,3,,0,,1,,,,,,
10167151,VOV,9170,785000,1,,,,0,,260,,,,4,,0,,,,,,,,
10167150,VLI,3500,220000,1,,,,575,1971,407,,3,,3,1,0,,,,1,,,1,
10041867,WHT,7387,190000,1,,6,,975,,,,2,,7,1,1,,1,,1,,,,
10167147,WLX,6820,252500,1,,,165,1080,,,,4,,3,,0,,,,1,1,1,,
10167144,BBR,1210,340000,2,,1,,,1971,,6,3,,2,1,1,,,1,1,,,30,
10140592,VAN,2970,329000,2,,2,102,,1979,84,2,2,,2,1,0,14,,,40,,,16,
10167140,VAN,2400,229000,1,,1,113,449,,268,,,,3,,0,,1,1,,,1,1,
10167136,VAN,2660,215000,2,,1,86,,1978,109,,,,3,1,0,,,,1,1,,,
10167134,VLI,3746,172500,1,,,251,2238,,180,,4,,3,2,0,,,,1,,,,
10167133,WHT,6040,90000,1,,,120,0,,576,,3,,3,,0,,,1,,1,,,
10167132,VLI,3740,115000,1,,,150,2389,,978,,4,,2,1,0,,,,1,,,,
10167131,BBR,1210,310000,2,20,2,,,1899,257,3,3,,2,1,0,,,8,1,1,,,
10167130,VBR,3390,395000,1,,1,191,860,1975,511,,4,,4,,0,,,,,,700,85,
10167129,WBR,1370,199000,1,,5,102,120,1950,170,,2,,3,1,0,8,,15,,1,60,1,
10167128,VWV,8520,176500,2,,2,90,,,108,1,2,6,1,1,1,20,,1,1,1,,15,
10167127,WLG,4540,326500,1,,,161,1054,,,,4,,3,,1,,,1,1,1,,,
10116286,VAN,2630,237000,1,,,135,221,,292,,,,3,1,0,,,1,,,110,25,
10167126,VBR,3360,1075000,1,11,2,379,1026,2022,39,,4,5,4,2,0,,1,,1,1,1,,
10155362,WNA,5670,115000,1,9,6,,700,,,,1,,4,1,0,13,1,1,40,,,,
10167122,VAN,2260,275000,1,,,108,764,1991,758,,4,2,1,1,0,,,,,,600,1,
10167121,WNA,5340,295500,1,,,165,1018,,,,3,,3,,1,,,,1,1,,,
10167120,VOV,9572,265000,1,,2,,943,1930,456,,3,,3,,0,,,,,,,,
10167115,VBR,1780,60000,1,9,,120,227,1969,440,,3,,3,1,0,,1,1,20,1,1,,
10167114,WNA,5101,415000,2,,,140,,2021,79,,3,,3,1,0,,,1,58,,1,20,
10167113,WHT,7034,165000,1,,5,,844,,595,,4,,3,1,0,,1,,1,1,,,
10167112,VLI,3800,85000,2,15,,60,,2003,301,,2,,1,1,0,,,,1,,,,
10167111,BBR,1000,595000,2,,2,160,,1953,263,4,3,,3,2,0,15,,1,58,,,5,
10167110,VWV,8000,495000,1,,,210,300,2022,,,3,,4,1,0,,,,,1,,,
10167108,WLG,4680,199000,2,,6,269,,1934,436,2,2,,4,1,0,,,,37,,,,
10167105,BBR,1000,550000,2,16,1,170,,1930,518,3,2,,2,1,0,10,,1,50,,,,
10167104,BBR,1170,510000,2,,2,155,,1992,275,5,4,,3,2,0,12,,1,45,,,45,
10167103,BBR,1180,1400000,1,7,5,600,435,1950,514,,3,,8,4,4,,1,1,40,,120,10,
10167099,VWV,8310,495000,1,,,210,300,2022,,,3,,4,1,0,,,,,1,,,
10165672,VBR,1745,250000,1,,,,509,1977,774,,3,,3,1,0,,,,1,1,,,
10167098,WNA,5350,265500,1,,,180,1179,,,,4,,3,,1,,,1,1,1,,,
10167097,WHT,6061,195000,1,7,5,,900,,338,,3,,3,,0,,1,1,1,1,,1,
10072832,VOV,9000,545000,2,,2,174,,,104,,,,3,,0,,,,,,,18,
10056621,VOV,9000,545000,2,,2,174,,,104,,,,3,,0,,,,,,,18,
10167096,VOV,9040,369000,1,,4,150,100,1918,171,,2,,2,1,1,,,,1,,42,,
10065357,WLG,4480,129000,2,,1,57,,,491,,3,,1,1,0,10,,1,28,,,48,
10167095,WLG,4950,59000,2,16,1,108,,,704,,,,2,,0,10,,,17,,,,
10078427,WLG,4860,290000,1,1,5,137,845,1975,568,,4,,3,1,0,,1,1,1,1,1,1,
10167089,WHT,6040,100000,1,,,,0,,129,,,,3,1,1,,,,,1,,1,
10167088,VWV,8370,105000,2,18,,,,1976,236,,3,,1,1,0,,,1,,,,1,
10167087,BBR,1050,315000,2,,1,80,,1960,281,3,2,,2,1,0,11,,1,30,,,5,
10167086,WNA,5590,300500,1,,,150,1018,,,,4,,3,1,0,,,,1,1,1,,
10167085,VAN,2270,599000,1,,2,386,910,1949,254,,4,,5,2,1,17,71,1,19,1,710,40,
10167084,VOV,9960,390000,1,,5,,940,1974,245,,4,,3,1,0,,,,,,1,1,
9926608,WLX,6750,259000,1,,1,200,500,,339,,4,,4,2,0,,,,,,,1,
10166945,BBR,1060,234000,2,18,2,38,,1973,295,7,2,,0,1,1,3,,,30,,,,
10167083,WLX,6927,273500,1,,,185,530,,,,4,,3,,1,,,1,1,1,,,
10167082,VOV,9300,249000,1,,1,150,140,,194,,,,3,,0,9,1,1,25,,,,
10167081,VBR,3010,475000,1,,1,190,260,,292,,,,4,,0,,1,1,,,1,1,
10167078,VOV,9031,325000,1,,5,210,60,,456,,2,,3,1,0,,,1,,,,1,
10167076,VAN,2660,234500,2,,4,98,,,277,3,2,1,2,1,0,15,,,40,,,10,
10167075,VOV,9140,175000,1,,,,164,,833,,,,2,,0,,1,,,,,,
10167073,WLG,4210,330500,1,,,230,526,,,,4,,3,1,0,,,,1,1,,,
10167072,BBR,1030,295000,2,,1,90,,,65,8,,,2,1,0,,,1,30,,,5,
10167071,WLX,6987,199000,1,8,5,,395,,375,,3,,3,1,1,14,,,,1,30,50,
10167069,VBR,3290,464000,1,,2,,546,2022,,,4,,3,1,0,,,,1,1,,,
10167068,WLG,4650,399000,1,,,503,2123,1972,392,,4,,5,1,0,,,,41,,,100,
10167062,WLX,6830,270500,1,,,130,1160,,,,4,,3,,2,,,,1,1,,,
10167060,VWV,8020,399000,1,,1,166,333,,135,,3,,3,,0,,,,,,1,,
10167056,VOV,9982,389000,1,,1,285,1000,1984,,,4,,5,1,0,,,,,,,1,
10167055,WBR,1410,315000,2,,1,100,,1970,169,2,2,,2,,1,10,,1,33,,,3,
10167053,BBR,1070,215000,2,,,,,,,,,,2,,0,,,,,,,,
10167051,BBR,1050,1295000,1,,2,279,170,1906,236,,2,7,6,1,2,18,,1,20,1,80,15,
10167049,VOV,9790,340000,1,,,118,362,1970,450,,2,,3,1,0,23,,,25,,,,
10167048,VLI,3740,770000,1,7,,,1268,1977,,,2,,1,,0,,,,,,,,
10167047,WNA,5100,185000,2,,4,,,,,3,3,6,2,,1,,1,,,,,,
10167046,WLG,4190,249000,1,,5,164,1313,,453,,4,,3,1,0,8,,14,,1,,,
10167045,WNA,5650,299500,1,,,230,1040,,,,4,,3,,1,,,1,1,1,,,
10167042,VLI,3511,154000,1,,,145,264,,297,,2,,4,1,0,,,,,,,,
10167041,WHT,6001,110000,2,,1,,,,214,,,,2,1,0,,,,,,,,
10167040,VLI,3500,145000,1,,,138,195,1971,437,,2,,4,1,0,,,,1,,,,
10167039,WNA,5590,185000,2,16,1,75,,,351,1,3,,1,1,0,20,,,17,1,,,
10167037,WLX,6640,286500,1,,,145,2972,,,,4,,3,1,0,,,,1,1,,,
10167036,BBR,1190,365000,2,,6,124,,1962,395,5,2,,3,1,0,,,1,38,,,5,
9998609,VAN,2650,309000,1,,5,,220,,318,,2,,2,1,0,,,,,,,,
10167032,WHT,6460,235500,1,,,145,965,,,,4,,3,1,0,,,,1,1,,,
10167031,VBR,1547,390000,1,,1,165,2200,,,,4,,3,1,0,,,,1,,2200,,
10167027,WLX,6810,175000,1,,,,1107,,412,,3,,6,,0,,,,,,,1,
10120220,VAN,2340,435000,1,11,,,1155,,233,,4,,6,2,0,,,,1,,,1,
10167025,WNA,5330,306500,1,,,120,1001,,,,4,,3,,1,,,,1,1,1,,
10167022,VBR,1932,119990,2,18,1,35,,,135,11,,,0,,0,,,,,,,6,
10167020,VLI,3980,190000,1,,,,575,1961,345,,3,,3,1,0,,1,1,1,,,,
10167018,WLG,4557,331500,1,,,,1332,,,,4,,2,1,0,,1,,1,1,,,
10167017,BBR,1090,220000,2,15,,120,,1960,354,3,2,,3,,1,1,,2,20,,,25,
10167016,VOV,9661,549000,1,,1,236,1287,2014,147,,4,,3,2,0,18,,28,,1,,,
10167014,VBR,1930,469000,1,9,2,170,441,1972,275,,3,,3,1,0,11,40,11,30,1,1,14,
10167010,VOV,9230,295000,1,,,,178,,74,,,,3,,0,,1,1,,,,1,
9715521,VOV,9790,315800,1,,,,444,,,,4,6,3,1,0,,,,,,1,,
10167009,VWV,8900,212200,2,,,98,,,,,2,5,2,1,0,,,,,,1,,
10167008,WNA,5670,125000,1,,1,,600,,448,,2,,3,1,0,,1,1,1,1,,1,
9889304,VWV,8900,206900,2,,,87,,,,,2,5,2,1,0,,,,,,1,,
10167006,VOV,9000,382000,1,,1,178,141,1997,196,,2,,4,1,0,10,,,25,,,,
10167005,BBR,1060,449000,1,7,,220,94,,211,,2,,4,1,3,1,,1,17,1,,25,
10167002,WHT,6120,500000,1,,1,,0,2004,,,6,,3,1,1,,,,1,1,1,,1
10139830,WLG,4432,249000,1,,2,133,240,1971,,,2,8,4,,2,6,,,27,,240,30,
10166996,WLG,4500,270000,1,,4,160,714,,,,3,7,3,,1,24,,,,,650,,
9914709,WLG,4020,270000,1,,1,150,0,,312,,2,,2,1,1,13,,1,15,1,,1,
10166994,VOV,9120,240000,1,,5,123,120,2005,444,,2,,3,1,0,22,24,,31,,,1,
10166991,WHT,6240,100000,1,,6,156,268,1850,575,,3,,3,1,0,15,1,1,22,1,200,23,
10166990,WNA,5650,89000,1,,,89,60,1850,672,,2,,1,1,1,4,1,1,30,,,,
10166989,VWV,8430,479000,2,,4,120,,1968,235,,,,3,1,0,,,,,,,1,
10166988,VWV,8434,374500,1,11,,187,0,1969,717,,4,,3,1,1,,,,,,,,
10166987,VWV,8620,189000,2,,4,57,,1965,309,2,,,1,1,1,,,,,,,,
10166986,WLG,4420,155000,1,,1,,0,,,,2,,2,1,0,,1,1,,,,18,
10166984,VAN,2470,285000,1,,5,157,778,1975,377,,4,,2,1,0,,,,1,,662,,
10166981,WBR,1440,249000,1,,1,100,290,1900,414,,2,,2,1,0,19,1,1,14,1,200,30,
10166980,WBR,1440,495000,2,,5,200,,1900,188,2,2,,4,2,0,,,1,27,,1100,,
10166979,WBR,1440,495000,1,7,5,200,1195,1900,188,,2,,4,2,0,,,1,27,1,1100,,
10166978,WBR,1440,490000,1,8,5,,150,1875,294,,2,,0,2,0,,,1,1,,,1,
10166977,WBR,1480,200000,1,,5,100,193,1920,267,,2,,3,1,0,12,1,1,17,1,150,40,
10166975,VWV,8200,1195000,1,,1,351,1435,1936,335,,4,,4,3,0,24,1,1,68,1,1445,1,
10166974,VWV,8310,835000,1,11,1,300,1632,1994,205,,4,,4,2,0,23,1,1,54,,1400,50,
10166972,VWV,8380,250000,2,,2,76,,2021,135,4,2,,2,1,1,6,,,26,,,29,
10166970,VOV,9551,350000,1,8,6,500,878,1965,613,,4,,6,1,0,,1,1,1,,,1,
10166967,VOV,9000,550000,1,,1,,1000,2007,127,,3,,6,2,0,,,,1,,800,,
10166965,VOV,9551,229000,1,,6,225,538,1965,613,,4,,6,1,0,,1,1,1,,,1,
10166964,VOV,9620,99000,1,,1,,88,,409,,2,,2,1,0,,,1,,,,1,
10166962,VBR,3212,439000,1,,2,95,432,1953,193,,3,,2,1,0,,,1,,,,,
10166961,VBR,3212,525000,1,,2,139,392,1978,199,,3,,3,1,0,,,1,,,,1,
10166947,WLG,4101,190000,1,,1,,113,1874,168,,2,,3,2,1,,,36,38,,64,1,
10166946,BBR,1050,415000,2,,,81,,,367,,,,2,1,0,9,,,35,,,1,
10166944,WHT,7012,189000,1,,5,108,535,1964,491,,4,,2,1,1,7,,9,52,1,452,1,
10166943,VOV,9270,419000,1,11,1,162,806,2000,257,,4,,5,1,0,,,,,,,1,
10166942,VOV,9240,255000,1,,2,79,298,,151,,2,,2,1,0,,,,,,,1,
10166940,VAN,2260,595000,1,,,701,1119,1760,255,,4,,3,1,0,,1,1,1,,,1,
10166938,VAN,2440,700000,1,8,6,880,3285,1966,375,,4,,7,1,0,,,,1,,,1,
10166936,VAN,2600,399000,2,,2,120,,,199,,,,3,2,0,8,,1,40,,,4,
9914992,VBR,1950,520000,1,,,175,243,1958,529,,3,,3,1,0,,1,1,,,165,,
10166934,WLG,4470,275000,1,,5,95,950,,590,,3,,2,1,0,7,,1,25,,750,16,
10166933,WHT,7000,129500,2,18,2,67,,,444,4,2,,0,1,0,,,,,,,,
10166932,WBR,1320,395000,1,,1,115,888,1990,386,,4,,3,1,0,16,15,,31,,888,21,
10166931,WBR,1495,225000,1,,5,144,464,1890,546,,3,,3,1,0,12,43,32,22,1,321,18,
10166930,WLG,4540,569999,1,11,2,289,6942,2013,108,,4,,3,2,2,14,1,1,33,,587,1,
10166929,WLG,4800,229000,1,7,1,165,220,,349,,2,,4,3,0,15,,1,21,,50,12,
10060601,VOV,9200,249000,1,,1,90,285,2005,391,,2,,1,1,0,,,,45,,,1,
10038461,VOV,9400,269000,1,,,115,132,,441,,3,,2,1,0,,,,,,,1,
10166923,VAN,2930,485000,1,,,193,1040,1989,261,,4,,4,1,0,12,1,1,32,,946,1,
10166922,WHT,6200,99000,1,,6,,0,,723,,3,,2,1,0,,1,1,,,,,
10166921,WHT,6001,385000,1,7,2,,0,,178,,3,,0,,0,,,1,,,,,
10049222,WHT,6000,59000,1,,2,,0,,,,2,,2,1,0,,,,,,,,
10049216,WHT,6000,59000,1,,2,,0,,,,2,,2,1,0,,,,,,,,
10049215,WHT,6000,59000,1,,2,,0,,,,2,,2,1,0,,,,,,,,
10049210,WHT,6010,119000,1,,4,,0,,,,2,,2,1,1,,,1,,,,,
10166920,VAN,2980,1129000,1,11,2,520,2057,1990,169,,4,,5,2,0,,1,1,,,,1,1
10166919,VAN,2800,365000,1,,1,110,405,1976,416,,3,,3,1,0,,,,,,,1,
10166916,WLX,6890,310000,1,,2,129,220,2022,,,2,,3,2,0,,15,,38,,150,20,
10166915,WLX,6890,330000,1,,2,129,340,2022,,,3,,3,2,0,,15,,38,,200,20,
10166907,VAN,2018,449500,2,,2,134,,,,14,,,3,,0,,,,,,,12,
10166906,VOV,9240,285000,1,,2,,230,,126,,2,,4,1,1,,1,1,,,,1,
10166905,WHT,6061,249000,1,,2,215,690,,381,,3,,5,2,0,20,35,75,19,1,,75,
10166904,BBR,1070,155000,2,,6,55,,,744,,2,,1,1,0,8,,1,18,,,,
10166903,WHT,6001,235000,1,,,137,290,,312,,4,,3,1,0,13,,1,28,,,,
10166902,WHT,6044,239500,1,11,1,,0,,527,,4,,3,1,0,,1,,,,,1,
10166901,WHT,7000,95000,1,,5,73,34,,662,,3,,2,2,0,,1,1,1,,,,
10166895,WLG,4400,145000,1,,,,0,,465,,2,,3,1,0,,,1,1,,46,1,
10106939,WLG,4400,390000,1,11,2,200,585,,261,,4,,5,,0,13,,,14,1,200,1,1
10099567,WLG,4430,280000,1,,1,124,328,,802,,3,,3,1,0,20,,,16,1,90,30,
10166893,VAN,2200,117000,2,18,5,50,,1991,483,3,,,0,1,0,,,,1,,,,
10166892,VAN,2200,147000,2,,5,88,,1991,211,3,,,2,1,0,,,,1,,,,
10166891,VAN,2300,360000,1,,1,,0,2019,,,2,,3,1,0,,,,,,,1,
10166887,VAN,2220,325000,2,,,129,,2000,150,,4,,2,1,0,,,,,,,1,
10166885,BBR,1200,600000,1,,2,166,185,1979,195,,2,,3,1,0,,,1,30,,98,,
10166879,VBR,1840,287000,2,16,2,108,,2003,126,,2,,2,1,0,,,,,,,,
10166876,WHT,7370,330000,1,11,2,100,800,,237,,4,,3,1,0,10,1,,16,1,8,1,
10166874,VWV,8300,1095000,2,,2,100,,1982,84,,2,4,3,2,0,,,,,1,,15,
10166871,BBR,1000,849000,2,19,1,190,,1920,224,4,2,,3,1,1,33,,,1,1,,32,
10166870,BBR,1083,650000,1,7,1,293,141,1910,,,2,,4,2,0,19,,58,19,,44,30,
10166869,VBR,1970,425000,1,,1,115,152,1961,363,,3,,3,1,1,6,,10,1,1,98,11,
10166868,VBR,1780,449000,1,8,1,195,118,1930,529,,2,,2,1,1,7,,15,1,1,,1,
10093094,WBR,1330,760000,1,,1,237,800,1900,127,,2,,5,2,1,25,,55,30,1,520,85,
10166864,VBR,1730,218800,2,,2,67,,,,3,2,,1,1,0,,,,30,,,9,
10166862,VBR,1750,495000,1,8,6,450,0,,,,4,,0,,0,,1,1,,,,1,
10166861,VBR,1750,495000,1,,6,,0,,,,4,,4,,0,,1,1,,,,1,
10166860,WLG,4000,545000,1,10,1,320,254,,243,,2,,8,1,0,9,58,38,46,1,160,30,
10166859,WLX,6670,135000,1,,1,120,315,,375,,4,,3,1,0,12,1,40,,1,260,,
10166858,VAN,2640,419000,1,6,1,,184,1954,597,,3,,4,1,0,6,,43,45,,55,,
10166857,BBR,1160,360000,2,,1,70,,2007,490,,3,,2,1,0,6,,,26,,,20,
10166856,VBR,1950,845000,1,6,2,,0,2009,212,,3,,4,2,0,12,1,1,26,1,,,
10166855,WBR,1410,398000,1,,1,,456,,335,,2,,3,1,1,7,1,,23,1,,24,
10166850,VAN,2000,440000,2,,2,85,,2014,,,2,,2,1,1,,,1,,,,12,
10166849,VBR,3010,545000,1,,5,264,994,1985,,,4,,4,2,2,15,,,33,,,,
10166848,VOV,9230,474000,1,11,5,245,1097,1963,403,,4,,4,2,0,,,1,,,1,1,
10166847,WBR,1400,375000,2,19,2,105,,2014,112,4,2,,2,2,2,13,,1,21,,,50,
10166842,WHT,7370,140000,1,,1,,184,,205,,2,,3,1,1,,,,50,,,1,
10166841,WHT,7370,140000,1,,1,,300,,209,,2,,3,1,1,,,,60,,,1,
10166840,WHT,7370,160000,1,,1,,200,,357,,3,,5,1,1,,,,47,,20,1,
10166839,WHT,7370,140000,1,,1,,500,,242,,2,,3,1,1,11,,,28,,,,
10166838,WHT,7370,140000,1,,1,,160,,234,,2,,3,1,1,,,,45,,,1,
10166837,VAN,2018,289000,2,,1,90,,,,,2,,2,1,0,,,1,,,,1,
10166834,WBR,1380,1400000,1,6,2,389,3230,1920,205,,4,,5,3,1,19,,1,44,1,2945,115,1
10166833,WBR,1420,380000,1,,5,151,510,1953,303,,3,,3,1,1,10,59,9,41,1,430,7,
