ID,Type,SubType,Price,NetHabitableSurface(msq),BedroomCount,Province,Locality,Region,PostCode,Floor,RegionCode,BuildingCondition,ConstructionYear,FacadeCount,HasBalcony,HasGarden,KitchenType,Status
10152975,APARTMENT,APARTMENT,200000.0,70.0,1.0,Brussels,Bruxelles,Brussels,1000,7.0,BRUSSELS,GOOD,,2.0,0.0,0.0,1,0
10152977,HOUSE,HOUSE,560000.0,157.0,2.0,Antwerp,Mechelen,Flanders,2800,2.0,FLANDERS,GOOD,1991.0,4.0,0.0,1.0,1,0
10152987,APARTMENT,APARTMENT,365000.0,98.0,2.0,Antwerp,Herentals,Flanders,2200,2.0,FLANDERS,AS_NEW,2019.0,2.0,0.0,0.0,3,1
10152988,HOUSE,HOUSE,149900.0,95.0,2.0,Hainaut,Roux,Wallonie,6044,2.0,WALLONIE,JUST_RENOVATED,,2.0,0.0,0.0,1,0
10152989,HOUSE,HOUSE,380000.0,147.0,3.0,Flemish Brabant,Wemmel,Flanders,1780,2.0,FLANDERS,TO_BE_DONE_UP,1930.0,3.0,0.0,1.0,3,0
10152995,HOUSE,HOUSE,336000.0,162.0,3.0,Antwerp,Lier,Flanders,2500,2.0,FLANDERS,,2021.0,2.0,0.0,1.0,1,1
10152998,HOUSE,HOUSE,384000.0,185.0,3.0,Antwerp,Lier,Flanders,2500,2.0,FLANDERS,,2021.0,3.0,0.0,1.0,1,1
10153001,HOUSE,HOUSE,265000.0,193.0,4.0,East Flanders,Brakel,Flanders,9660,2.0,FLANDERS,TO_RENOVATE,1954.0,1.0,0.0,1.0,0,0
10153004,HOUSE,HOUSE,336000.0,162.0,3.0,Antwerp,Lier,Flanders,2500,2.0,FLANDERS,,2021.0,2.0,0.0,1.0,1,1
10153005,HOUSE,HOUSE,359000.0,186.0,3.0,Antwerp,Lier,Flanders,2500,2.0,FLANDERS,,2021.0,2.0,0.0,1.0,1,1
10153007,HOUSE,HOUSE,384000.0,185.0,3.0,Antwerp,Lier,Flanders,2500,2.0,FLANDERS,,2021.0,3.0,0.0,1.0,1,1
10153011,HOUSE,HOUSE,359000.0,186.0,3.0,Antwerp,Lier,Flanders,2500,2.0,FLANDERS,,2021.0,2.0,0.0,1.0,1,1
10153018,HOUSE,HOUSE,336000.0,162.0,3.0,Antwerp,Lier,Flanders,2500,2.0,FLANDERS,,2021.0,2.0,0.0,1.0,1,1
10153019,HOUSE,HOUSE,336000.0,162.0,3.0,Antwerp,Lier,Flanders,2500,2.0,FLANDERS,,2021.0,2.0,0.0,1.0,1,1
10153022,HOUSE,HOUSE,336000.0,162.0,3.0,Antwerp,Lier,Flanders,2500,2.0,FLANDERS,,2021.0,2.0,0.0,1.0,1,1
10153024,HOUSE,HOUSE,210000.0,130.0,3.0,Hainaut,AISEAU,Wallonie,6250,2.0,WALLONIE,GOOD,,1.0,0.0,0.0,2,0
10153025,HOUSE,HOUSE,210000.0,61.0,1.0,West Flanders,Koksijde,Flanders,8670,2.0,FLANDERS,,2015.0,1.0,0.0,0.0,1,1
10153027,HOUSE,HOUSE,560000.0,247.0,4.0,West Flanders,Nieuwpoort,Flanders,8620,2.0,FLANDERS,AS_NEW,,3.0,0.0,0.0,3,0
10153034,HOUSE,HOUSE,259000.0,138.0,3.0,West Flanders,Diksmuide,Flanders,8600,2.0,FLANDERS,AS_NEW,,1.0,0.0,1.0,1,0
10153035,HOUSE,HOUSE,235000.0,166.0,3.0,West Flanders,Sint-Eloois-Winkel,Flanders,8880,2.0,FLANDERS,AS_NEW,,1.0,0.0,1.0,0,0
10153036,HOUSE,HOUSE,630000.0,260.0,5.0,Flemish Brabant,Kampenhout,Flanders,1910,2.0,FLANDERS,GOOD,1918.0,4.0,0.0,1.0,1,0
10153039,APARTMENT,APARTMENT,330000.0,110.0,3.0,Brussels,BRUXELLES,Brussels,1000,1.0,BRUSSELS,GOOD,,3.0,0.0,0.0,1,0
10153040,HOUSE,HOUSE,229000.0,109.0,3.0,East Flanders,Waasmunster,Flanders,9250,2.0,FLANDERS,AS_NEW,1940.0,1.0,0.0,1.0,0,0
10153047,HOUSE,TOWN_HOUSE,160000.0,175.0,2.0,Hainaut,Gouy-Lez-Piéton,Wallonie,6181,2.0,WALLONIE,GOOD,,2.0,0.0,0.0,1,0
10153048,HOUSE,VILLA,489000.0,140.0,3.0,East Flanders,Gent,Flanders,9041,2.0,FLANDERS,JUST_RENOVATED,,4.0,0.0,1.0,3,0
10153055,HOUSE,HOUSE,415000.0,180.0,4.0,Antwerp,Wilrijk (Antwerpen),Flanders,2610,2.0,FLANDERS,TO_BE_DONE_UP,1930.0,2.0,0.0,0.0,0,0
10153061,APARTMENT,APARTMENT,174500.0,90.0,2.0,East Flanders,Haaltert,Flanders,9450,2.0,FLANDERS,AS_NEW,1997.0,1.0,0.0,0.0,0,0
10153069,APARTMENT,APARTMENT,275000.0,92.0,2.0,East Flanders,BAARLE,Flanders,9031,1.0,FLANDERS,GOOD,2004.0,2.0,0.0,0.0,1,0
